"","SpecCode","Species","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","Amphibious","AmphibiousRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"1","2079","Brachymystax lenok","Brachymystax",13397,"(Pallas, 1773)","Lenok","Brlen_u8.jpg",NA,NA,NA,76,"Salmoninae",4659,NA,"fusiform / normal","O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,"anadromous",51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.88,70,"TL","60","TL","40637","55","SL",NA,NA,35840,8000,NA,12218,NA,NA,NA,NA,4537,"commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0",NA,NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"A slow-growing fish which inhabits rivers.  A cold water fish and never goes to the ocean; finds deep cold waters during summer; can be found under the ice in late fall and winter (Ref. 12218).  Feeds on larval and adult insects, amphipods, small fish, frogs, mice and salmon spawn (Ref. 593).  During spawning the body turns to a dark red and the dorsal and pectoral fins change to a rainbow of colors (Ref. 12218).",NA,"0.625",0,2,"1991-01-21T00:00:00Z","1","2002-03-10T00:00:00Z","99","1995-01-17T00:00:00Z",NA
"2","46541","Brachymystax savinovi","Brachymystax",13397,"Mitrofanov, 1959",NA,"Brsav_u2.jpg",NA,NA,NA,76,"Salmoninae",4659,NA,"fusiform / normal","O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,"anadromous",51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.01,47,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Max. length (Bogdan Dresler, pers. comm., 2000).",NA,"0.625",0,1,"1998-02-26T00:00:00Z","65","2013-07-18T00:00:00Z",NA,NA,NA
"3","63398","Brachymystax tumensis","Brachymystax",58298,"Mori, 1930",NA,NA,NA,NA,NA,76,"Salmoninae",4659,NA,NA,"O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,"0.625",0,113,"2007-05-18T00:00:00Z",NA,"2007-05-18T00:00:00Z",NA,NA,NA
"4","49197","Coregonus albellus","Coregonus",13696,"Fatio, 1890",NA,NA,NA,NA,NA,76,"Coregoninae",7065,NA,NA,"O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,NA,NA,"30",100,59043,NA,NA,NA,NA,NA,NA,NA,38,26,"SL",NA,NA,"59043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Lacustrine, in deep water. Spawns in September, at 30-100 m depth. Spawns for the first time at about 120 mm SL (Ref. 59043).",NA,"0.5",0,10,"1998-07-20T00:00:00Z","97","2010-07-05T00:00:00Z",NA,NA,NA
"5","231","Coregonus albula","Coregonus",4779,"(Linnaeus, 1758)","Vendace","Coalb_u0.jpg",NA,NA,NA,76,"Coregoninae",7065,NA,"fusiform / normal","R",NA,NA,"0",-1,-1,-1,"benthopelagic",NA,NA,"anadromous",51243,"30",NA,NA,NA,NA,NA,10,"593",NA,NA,26.82,48,"TL",NA,NA,"556","20","TL",NA,NA,556,1000,NA,556,NA,NA,NA,NA,4931,"commercial","medium","Reliable: based on ex-vessel price for this species",NA,"from 1,000 to 10,000",NA,"seines",NA,0,-1,0,"-1",0,"-1",0,0,0,"0","experimental",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Lacustrine and marine in open water. At sea, forages close to coast (Ref. 59043).  Forms pelagic schools in deeper lakes (Ref. 4779).  Spawns along shores, at 3-10 m depth, rarely to 22 m depth or just below surface. Spawns deeper in clear lakes and closer to surface in lakes with humic waters (Ref. 59043). Spawns on shallow sand or gravel substrate.  Anadromous in the Baltic.  Feeds on planktonic crustaceans (Ref. 4779).",NA,"0.5",0,2,"1990-10-17T00:00:00Z","97","2011-01-12T00:00:00Z","97","2003-01-15T00:00:00Z",NA
"6","60806","Coregonus alpenae","Coregonus",1998,"(Koelz, 1924)","Longjaw cisco",NA,NA,NA,NA,76,"Coregoninae",7065,NA,"fusiform / normal","O",NA,NA,"0",-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.01,45.5999984741211,"TL",NA,NA,"3370","26.700000762939453","TL",NA,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,0,NA,NA,"0.5",0,10,"2003-08-01T00:00:00Z","10","2004-07-16T00:00:00Z",NA,NA,NA
"7","49199","Coregonus alpinus","Coregonus",13696,"Fatio, 1885",NA,NA,NA,NA,NA,76,"Coregoninae",7065,NA,NA,"O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,NA,NA,"40",150,59043,NA,NA,NA,NA,NA,NA,NA,37.05,25,"SL",NA,NA,"59043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Lacustrine, in deep water. Feeds on benthic invertebrates, especially chironomids. Spawns in August - December, at 40-150 m deep, mainly near torrent deltas (Ref. 59043).",NA,"0.5",0,10,"1998-07-21T00:00:00Z","97","2010-07-05T00:00:00Z",NA,NA,NA
"8","63072","Coregonus anaulorum","Coregonus",53210,"Chereshnev, 1996",NA,NA,NA,NA,NA,76,"Coregoninae",7065,NA,NA,"O",NA,NA,"0",-1,-1,-1,"benthopelagic",NA,NA,"anadromous",46888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,"0.5",0,10,"2007-01-16T00:00:00Z","2","2007-10-03T00:00:00Z",NA,NA,NA
"9","49208","Coregonus arenicolus","Coregonus",13696,"Kottelat, 1997",NA,NA,NA,NA,NA,76,"Coregoninae",7065,NA,"fusiform / normal","O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.52,55,"SL",NA,NA,"59043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Lacustrine, near flat shores, or near bottom, sometimes on steep slopes. Inhabits and spawns in shallow coastal areas (Ref. 13696). Feeds on benthic invertebrates (especially mussels and snails). Spawns in shallow water along shores (Ref. 59043).",NA,"0.5",0,10,"1998-07-23T00:00:00Z","97","2010-07-06T00:00:00Z",NA,NA,NA
"10","235","Coregonus artedi","Coregonus",86798,"Lesueur, 1818","Cisco","Coart_u1.jpg",NA,NA,NA,76,"Coregoninae",7065,NA,"elongated","O",NA,NA,"0",-1,-1,-1,"pelagic-neritic",NA,NA,"anadromous",120291,"0",64,1998,NA,NA,NA,11,"12193",NA,NA,36.63,57,"TL",NA,NA,"86798","29.25","TL",NA,NA,12193,3350,NA,4699,NA,NA,NA,NA,4931,"commercial","very high","Very questionable: based on ex-vessel price for species in this family",NA,"from 1,000 to 10,000",NA,"seines",NA,0,-1,0,"0",0,"0",0,0,-1,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"-1",4699,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits open waters of lakes and large rivers, and also coastal waters of Hudson Bay (Ref. 9988, 86798).  Nerito-pelagic species that feeds on plankton and large crustaceans (Ref. 58426).  Utilized fresh, smoked, and frozen; can be steamed, fried, broiled, boiled, microwaved, and baked (Ref. 9988).",NA,"0.5",0,2,"1990-10-17T00:00:00Z","10","2020-01-24T00:00:00Z","99","1995-01-17T00:00:00Z",NA
